,time,open,high,low,close,vol,date
0,1620604800000,387.77,413.49,333.68,358.89,3830553.73813,2021-05-10
1,1620691200000,358.93,379.72,345.0,377.6,2031121.35038,2021-05-11
2,1620777600000,377.8,394.37,301.0,310.4,2537826.91562,2021-05-12
3,1620864000000,310.4,332.73,291.0,317.95,2979065.55728,2021-05-13
4,1620950400000,317.95,338.85,307.96,326.23,1482325.51445,2021-05-14
5,1621036800000,326.24,332.0,296.17,300.3,1486176.50537,2021-05-15
6,1621123200000,300.22,323.95,279.66,295.89,1693568.12752,2021-05-16
7,1621209600000,295.89,296.34,261.27,281.53,2079261.84526,2021-05-17
8,1621296000000,281.38,317.97,278.32,293.98,2558765.69804,2021-05-18
9,1621382400000,293.98,300.31,147.0,185.93,6731555.34383,2021-05-19
10,1621468800000,186.31,225.0,166.45,210.74,4269465.92695,2021-05-20
11,1621555200000,210.66,219.12,156.56,179.97,2998819.79591,2021-05-21
12,1621641600000,179.97,184.44,161.61,169.32,1983438.52337,2021-05-22
13,1621728000000,169.3,176.26,118.03,142.39,3854006.12408,2021-05-23
14,1621814400000,142.52,185.37,139.54,185.32,2491240.93285,2021-05-24
15,1621900800000,185.32,194.61,167.15,183.76,1974384.43463,2021-05-25
16,1621987200000,183.89,204.13,179.42,198.91,1540975.47323,2021-05-26
17,1622073600000,198.92,209.0,180.39,194.32,1457775.38448,2021-05-27
18,1622160000000,194.31,198.88,165.5,177.33,2118247.13851,2021-05-28
19,1622246400000,177.3,188.69,157.65,164.01,1554075.0432,2021-05-29
20,1622332800000,164.04,181.1,155.11,170.51,1123365.50693,2021-05-30
21,1622419200000,170.48,188.5,163.5,187.97,1242054.05369,2021-05-31
22,1622505600000,188.01,193.16,175.82,182.99,1081241.44408,2021-06-01
23,1622592000000,183.05,191.34,178.27,187.14,976844.03214,2021-06-02
24,1622678400000,187.18,197.78,181.95,193.5,1079806.82442,2021-06-03
25,1622764800000,193.52,193.81,168.95,178.44,1130262.18071,2021-06-04
26,1622851200000,178.46,185.49,167.32,172.94,846082.98073,2021-06-05
27,1622937600000,172.95,179.96,172.02,176.41,677386.36378,2021-06-06
28,1623024000000,176.42,182.22,160.25,161.95,1035822.82509,2021-06-07
29,1623110400000,161.92,164.48,144.89,160.63,1417289.87647,2021-06-08
30,1623196800000,160.64,173.3,152.31,172.56,1139739.36054,2021-06-09
31,1623283200000,172.54,174.61,162.12,168.16,878866.63371,2021-06-10
32,1623369600000,168.18,173.78,160.55,162.83,928611.54446,2021-06-11
33,1623456000000,162.84,164.3,154.14,161.8,653167.31003,2021-06-12
34,1623542400000,161.81,171.59,156.42,170.85,573493.90783,2021-06-13
35,1623628800000,170.85,179.99,166.34,179.89,802051.95645,2021-06-14
36,1623715200000,179.88,181.2,172.15,175.15,654352.05304,2021-06-15
37,1623801600000,175.16,177.31,164.23,166.57,761479.45263,2021-06-16
38,1623888000000,166.56,173.4,162.81,167.08,559434.62367,2021-06-17
39,1623974400000,167.13,167.43,151.2,156.34,800699.30384,2021-06-18
40,1624060800000,156.33,160.88,152.31,152.49,523073.02283,2021-06-19
41,1624147200000,152.51,156.18,143.75,154.88,611253.37603,2021-06-20
42,1624233600000,154.87,155.5,123.91,124.46,1492819.3793,2021-06-21
43,1624320000000,124.38,133.03,104.92,119.64,2255757.11457,2021-06-22
44,1624406400000,119.69,133.75,115.49,129.1,1020444.64312,2021-06-23
45,1624492800000,129.13,137.36,123.71,134.58,660335.54019,2021-06-24
46,1624579200000,134.59,138.45,124.31,125.0,764515.33892,2021-06-25
47,1624665600000,125.03,129.44,118.67,126.89,871924.09227,2021-06-26
48,1624752000000,126.81,132.67,124.66,132.6,573388.24688,2021-06-27
49,1624838400000,132.57,139.55,129.89,137.69,703645.47159,2021-06-28
50,1624924800000,137.68,149.18,137.24,144.2,898148.69711,2021-06-29
51,1625011200000,144.23,146.94,136.01,144.26,629619.41847,2021-06-30
52,1625097600000,144.31,144.31,133.99,137.02,539535.2997,2021-07-01
53,1625184000000,137.01,138.97,130.6,136.85,467041.14947,2021-07-02
54,1625270400000,136.87,141.37,134.57,140.17,351451.49767,2021-07-03
55,1625356800000,140.19,148.1,136.88,144.95,443949.92264,2021-07-04
56,1625443200000,144.96,145.03,133.84,137.71,561680.84949,2021-07-05
57,1625529600000,137.76,142.73,135.6,138.87,530800.52733,2021-07-06
58,1625616000000,138.86,142.93,136.87,137.41,520913.20131,2021-07-07
59,1625702400000,137.38,137.74,127.77,132.15,645442.57112,2021-07-08
60,1625788800000,132.11,135.85,126.0,134.58,527547.82163,2021-07-09
61,1625875200000,134.54,136.82,130.32,133.99,365844.86832,2021-07-10
62,1625961600000,133.99,136.48,132.08,134.28,324968.57149,2021-07-11
63,1626048000000,134.28,139.75,131.82,133.38,670917.62355,2021-07-12
64,1626134400000,133.32,134.61,129.35,131.44,454856.67168,2021-07-13
65,1626220800000,131.45,132.42,123.59,131.07,538916.43958,2021-07-14
66,1626307200000,131.06,133.13,121.93,125.86,494375.7243,2021-07-15
67,1626393600000,125.88,127.87,120.38,120.65,422183.01506,2021-07-16
68,1626480000000,120.66,122.92,117.68,119.95,425298.69428,2021-07-17
69,1626566400000,120.0,124.05,116.23,119.17,430985.21457,2021-07-18
70,1626652800000,119.16,120.75,111.82,113.13,493082.96266,2021-07-19
71,1626739200000,113.14,115.09,103.83,107.29,766236.24738,2021-07-20
72,1626825600000,107.31,119.24,105.05,117.74,682039.47283,2021-07-21
73,1626912000000,117.77,122.0,115.61,120.67,464759.47146,2021-07-22
74,1626998400000,120.69,124.78,117.02,124.24,404160.06952,2021-07-23
75,1627084800000,124.27,127.7,123.29,125.99,432891.78019,2021-07-24
76,1627171200000,126.0,127.99,123.51,127.68,392963.87036,2021-07-25
77,1627257600000,127.64,140.47,126.85,131.06,1052092.77379,2021-07-26
78,1627344000000,131.06,135.12,127.27,134.74,607384.02252,2021-07-27
79,1627430400000,134.73,142.0,132.39,140.42,729936.12774,2021-07-28
80,1627516800000,140.48,143.0,136.55,141.44,542641.00192,2021-07-29
81,1627603200000,141.44,145.88,135.86,145.51,605847.24082,2021-07-30
82,1627689600000,145.51,146.6,141.83,144.37,388737.61543,2021-07-31
83,1627776000000,144.35,149.78,138.04,140.31,584699.77102,2021-08-01
84,1627862400000,140.31,145.93,138.76,141.35,419849.68249,2021-08-02
85,1627948800000,141.32,143.24,135.6,138.49,402821.08451,2021-08-03
86,1628035200000,138.49,144.5,135.54,142.57,486488.33119,2021-08-04
87,1628121600000,142.57,145.19,136.12,143.53,615027.38819,2021-08-05
88,1628208000000,143.51,150.9,141.73,147.95,685973.67511,2021-08-06
89,1628294400000,147.93,156.39,147.06,155.92,878574.53896,2021-08-07
90,1628380800000,155.92,157.63,147.0,149.69,700140.23658,2021-08-08
91,1628467200000,149.69,170.78,145.15,166.31,1165618.32076,2021-08-09
92,1628553600000,166.27,168.28,158.79,165.38,894686.73503,2021-08-10
93,1628640000000,165.38,176.07,164.23,170.6,914647.0176,2021-08-11
94,1628726400000,170.57,179.74,160.77,165.38,987267.21224,2021-08-12
95,1628812800000,165.41,184.57,164.0,183.31,1122682.76822,2021-08-13
96,1628899200000,183.32,185.11,174.62,182.76,944596.30069,2021-08-14
97,1628985600000,182.78,186.55,175.18,184.6,948648.90733,2021-08-15
98,1629072000000,184.59,189.03,176.35,177.93,898330.4154,2021-08-16
99,1629158400000,177.96,184.38,168.01,168.61,781038.75082,2021-08-17
100,1629244800000,168.6,174.54,162.92,166.65,694819.54486,2021-08-18
101,1629331200000,166.64,175.82,162.66,175.59,682216.29479,2021-08-19
102,1629417600000,175.57,184.11,174.11,183.59,708140.15383,2021-08-20
103,1629504000000,183.59,184.48,176.52,179.63,644225.29965,2021-08-21
104,1629590400000,179.57,189.6,178.38,185.91,935874.98336,2021-08-22
105,1629676800000,185.85,191.94,183.61,187.01,877311.28336,2021-08-23
106,1629763200000,186.98,188.64,172.25,173.42,780692.69421,2021-08-24
107,1629849600000,173.39,179.0,169.06,177.75,617983.0803,2021-08-25
108,1629936000000,177.76,180.18,164.9,167.7,568905.75324,2021-08-26
109,1630022400000,167.7,176.35,165.0,176.2,456121.02531,2021-08-27
