,time,open,high,low,close,vol,date
0,1620604800000,52.277,53.0,40.7,46.334,11459163.62,2021-05-10
1,1620691200000,46.326,49.0,44.576,48.826,7532480.798,2021-05-11
2,1620777600000,48.805,49.836,40.914,41.622,8304570.51,2021-05-12
3,1620864000000,41.541,44.958,39.227,43.287,10978718.589,2021-05-13
4,1620950400000,43.273,47.875,42.935,46.567,6310269.001,2021-05-14
5,1621036800000,46.558,47.8,40.975,41.492,9858340.364,2021-05-15
6,1621123200000,41.512,44.901,37.944,40.67,9820375.699,2021-05-16
7,1621209600000,40.662,40.674,35.068,37.177,10672040.785,2021-05-17
8,1621296000000,37.176,44.69,36.655,42.566,11237931.791,2021-05-18
9,1621382400000,42.555,43.5,21.0,26.227,30087569.964,2021-05-19
10,1621468800000,26.227,33.05,22.35,30.606,20474453.97,2021-05-20
11,1621555200000,30.633,31.945,22.019,25.546,16394437.613,2021-05-21
12,1621641600000,25.548,26.2,22.225,23.296,13176375.348,2021-05-22
13,1621728000000,23.293,24.368,15.0,19.844,28838486.247,2021-05-23
14,1621814400000,19.849,26.431,19.677,26.412,18781247.484,2021-05-24
15,1621900800000,26.4,27.644,23.673,27.503,13594283.818,2021-05-25
16,1621987200000,27.505,34.285,26.847,34.018,15626091.013,2021-05-26
17,1622073600000,34.03,35.334,30.033,31.732,14928881.511,2021-05-27
18,1622160000000,31.723,32.185,26.821,27.878,18329155.015,2021-05-28
19,1622246400000,27.872,29.734,24.12,25.365,11852877.566,2021-05-29
20,1622332800000,25.377,29.168,23.7,26.818,11581989.136,2021-05-30
21,1622419200000,26.813,32.159,25.555,32.098,11530173.536,2021-05-31
22,1622505600000,32.098,32.65,29.035,30.719,8541347.958,2021-06-01
23,1622592000000,30.729,32.218,29.669,30.67,6690371.855,2021-06-02
24,1622678400000,30.669,32.856,30.0,32.198,7153659.069,2021-06-03
25,1622764800000,32.199,32.267,27.172,28.826,11814359.672,2021-06-04
26,1622851200000,28.829,30.186,26.044,27.129,8061770.985,2021-06-05
27,1622937600000,27.127,28.19,26.818,27.532,4103120.692,2021-06-06
28,1623024000000,27.53,28.693,24.234,24.584,7596956.78,2021-06-07
29,1623110400000,24.574,25.098,21.334,24.076,12541377.995,2021-06-08
30,1623196800000,24.079,25.626,22.441,25.585,10774426.546,2021-06-09
31,1623283200000,25.589,25.78,22.721,23.114,8528580.189,2021-06-10
32,1623369600000,23.117,23.374,21.0,21.478,7708441.111,2021-06-11
33,1623456000000,21.475,22.287,20.0,21.67,8866594.23,2021-06-12
34,1623542400000,21.671,23.886,20.396,23.312,8518777.758,2021-06-13
35,1623628800000,23.314,25.28,22.837,24.973,8601439.911,2021-06-14
36,1623715200000,24.967,26.458,24.376,24.482,7591140.11,2021-06-15
37,1623801600000,24.48,24.64,22.918,23.044,7504910.032,2021-06-16
38,1623888000000,23.042,24.445,22.81,23.396,5252377.095,2021-06-17
39,1623974400000,23.401,23.425,20.526,21.233,6991986.015,2021-06-18
40,1624060800000,21.236,21.95,20.0,20.246,5051884.872,2021-06-19
41,1624147200000,20.263,22.071,19.077,21.646,6747456.736,2021-06-20
42,1624233600000,21.641,21.881,16.981,17.365,16334287.906,2021-06-21
43,1624320000000,17.357,18.797,15.0,16.85,19816152.567,2021-06-22
44,1624406400000,16.84,19.199,16.149,18.395,10955575.372,2021-06-23
45,1624492800000,18.393,19.525,17.352,19.06,6913929.289,2021-06-24
46,1624579200000,19.06,19.5,16.813,16.87,10064722.521,2021-06-25
47,1624665600000,16.872,17.495,15.92,16.952,8397555.9,2021-06-26
48,1624752000000,16.951,18.412,16.591,18.406,6672229.029,2021-06-27
49,1624838400000,18.407,19.434,17.902,18.83,7730969.378,2021-06-28
50,1624924800000,18.83,20.546,18.752,19.535,7920272.502,2021-06-29
51,1625011200000,19.531,19.776,18.149,19.516,7407061.566,2021-06-30
52,1625097600000,19.517,19.533,17.603,18.186,6081147.359,2021-07-01
53,1625184000000,18.184,18.523,17.256,18.274,5454370.72,2021-07-02
54,1625270400000,18.277,18.894,17.864,18.543,3457947.186,2021-07-03
55,1625356800000,18.543,19.925,18.002,19.242,4719545.203,2021-07-04
56,1625443200000,19.238,19.242,17.767,18.362,5293286.65,2021-07-05
57,1625529600000,18.364,20.271,18.317,20.073,8365971.342,2021-07-06
58,1625616000000,20.073,21.274,19.62,19.788,7382310.549,2021-07-07
59,1625702400000,19.786,19.873,18.138,18.353,7810651.198,2021-07-08
60,1625788800000,18.365,18.877,17.617,18.656,5274715.584,2021-07-09
61,1625875200000,18.656,18.988,17.734,18.204,4080693.184,2021-07-10
62,1625961600000,18.209,18.581,17.861,18.383,2750998.477,2021-07-11
63,1626048000000,18.382,18.609,17.0,17.518,3787713.432,2021-07-12
64,1626134400000,17.514,17.766,16.663,16.87,3654707.118,2021-07-13
65,1626220800000,16.873,17.419,16.014,16.936,5451319.438,2021-07-14
66,1626307200000,16.936,17.238,15.517,15.764,6244804.485,2021-07-15
67,1626393600000,15.764,16.33,15.125,15.234,5213696.453,2021-07-16
68,1626480000000,15.234,15.678,15.02,15.352,5177561.722,2021-07-17
69,1626566400000,15.352,16.078,15.155,15.47,3946695.121,2021-07-18
70,1626652800000,15.475,15.641,14.404,14.528,5829694.304,2021-07-19
71,1626739200000,14.529,14.783,13.384,13.742,7700512.325,2021-07-20
72,1626825600000,13.744,15.797,13.46,15.297,8493449.369,2021-07-21
73,1626912000000,15.3,16.176,14.961,16.071,5864766.171,2021-07-22
74,1626998400000,16.073,16.572,15.23,16.502,5208073.46,2021-07-23
75,1627084800000,16.507,17.132,16.307,16.683,5410931.847,2021-07-24
76,1627171200000,16.687,17.062,16.156,16.746,4708980.418,2021-07-25
77,1627257600000,16.745,19.958,16.662,18.028,14210837.673,2021-07-26
78,1627344000000,18.03,19.58,17.602,19.489,8327513.617,2021-07-27
79,1627430400000,19.483,19.987,18.611,19.109,7596790.315,2021-07-28
80,1627516800000,19.106,19.472,18.608,19.37,4161840.776,2021-07-29
81,1627603200000,19.372,22.666,18.823,22.269,12896563.782,2021-07-30
82,1627689600000,22.269,23.375,21.266,22.713,7637055.914,2021-07-31
83,1627776000000,22.722,23.94,21.789,22.062,8728644.337,2021-08-01
84,1627862400000,22.065,23.975,21.401,23.472,7225124.74,2021-08-02
85,1627948800000,23.474,24.431,22.039,23.942,9465472.392,2021-08-03
86,1628035200000,23.942,25.0,22.869,24.193,8225660.808,2021-08-04
87,1628121600000,24.188,24.335,22.468,24.057,7144781.467,2021-08-05
88,1628208000000,24.051,24.391,22.996,23.89,7433704.425,2021-08-06
89,1628294400000,23.889,25.157,23.626,24.694,6218217.158,2021-08-07
90,1628380800000,24.688,24.946,22.565,23.029,5179399.165,2021-08-08
91,1628467200000,23.026,24.691,22.072,24.197,5994876.946,2021-08-09
92,1628553600000,24.198,25.518,23.736,24.537,6592102.333,2021-08-10
93,1628640000000,24.536,27.313,24.459,25.906,7843592.877,2021-08-11
94,1628726400000,25.902,26.902,24.085,24.944,6385288.818,2021-08-12
95,1628812800000,24.941,27.771,24.715,27.748,4895829.581,2021-08-13
96,1628899200000,27.748,27.955,26.371,27.144,5869978.184,2021-08-14
97,1628985600000,27.139,27.983,25.901,27.901,4492523.836,2021-08-15
98,1629072000000,27.901,30.51,27.638,27.944,9364186.799,2021-08-16
99,1629158400000,27.95,30.299,25.881,26.146,9870163.634,2021-08-17
100,1629244800000,26.145,26.922,24.847,25.341,8437887.642,2021-08-18
101,1629331200000,25.341,27.132,24.479,27.096,7978787.57,2021-08-19
102,1629417600000,27.101,29.048,26.647,28.678,6765096.705,2021-08-20
103,1629504000000,28.681,29.156,27.648,27.844,5165729.464,2021-08-21
104,1629590400000,27.85,28.663,26.785,27.982,4266944.356,2021-08-22
105,1629676800000,27.981,29.3,27.78,28.552,6106352.511,2021-08-23
106,1629763200000,28.556,28.923,25.712,25.728,6394087.605,2021-08-24
107,1629849600000,25.728,26.879,25.279,26.612,5810278.155,2021-08-25
108,1629936000000,26.612,26.94,23.88,24.39,5809610.757,2021-08-26
109,1630022400000,24.38,26.14,24.0,26.04,5116792.068,2021-08-27
